status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,target
checking account below 0 DM,6,critical account or other credits existing,radio or television,338,savings between 500 and 1000 DM,employed 7 years or more,4,male single,none,4,car or other property,52,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,12,existing credits paid back duly till now,radio or television,1963,savings below 100 DM,employed between 4 and 7 years,4,male single,none,2,car or other property,31,none,rent,2,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
checking account below 0 DM,21,critical account or other credits existing,car (new),571,savings below 100 DM,employed 7 years or more,4,male single,none,4,real estate,65,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,36,delay in paying off in the past,business,9572,savings below 100 DM,employed less than 1 year,1,male divorced or separated,none,1,car or other property,28,none,own,2,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,36,delay in paying off in the past,business,4455,savings below 100 DM,employed between 1 and 4 years,2,male divorced or separated,none,2,real estate,30,stores,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,21,all credits at this bank paid back duly,car (new),1647,unknown or no savings account,employed between 1 and 4 years,4,male single,none,2,building society savings agreement or life insurance,40,none,own,2,unskilled resident,2,no telephone,yes,bad credit
no checking account,24,critical account or other credits existing,furniture or equipment,3777,savings above 1000 DM,employed between 1 and 4 years,4,male single,none,4,real estate,50,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,18,critical account or other credits existing,car (new),884,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,36,bank,own,1,skilled employee or official,2,telephone registered under customer name,yes,bad credit
no checking account,15,critical account or other credits existing,radio or television,1360,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,building society savings agreement or life insurance,31,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,9,all credits at this bank paid back duly,car (used),5129,savings below 100 DM,employed 7 years or more,2,"female divorced, separated, or married",none,4,unknown or no property,74,bank,for free,1,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,16,critical account or other credits existing,car (new),1175,savings below 100 DM,unemployed,2,male single,none,3,car or other property,68,none,for free,3,unemployed or unskilled non-resident,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,radio or television,674,savings between 100 and 500 DM,employed between 4 and 7 years,4,male married or widowed,none,1,building society savings agreement or life insurance,20,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,18,no credits taken or all credits paid back duly,furniture or equipment,3244,savings below 100 DM,employed between 1 and 4 years,1,"female divorced, separated, or married",none,4,car or other property,33,bank,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,business,4591,savings above 1000 DM,employed between 1 and 4 years,2,male single,none,3,building society savings agreement or life insurance,54,none,own,3,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,48,no credits taken or all credits paid back duly,business,3844,savings between 100 and 500 DM,employed between 4 and 7 years,4,male single,none,4,unknown or no property,34,none,for free,1,unskilled resident,2,no telephone,yes,bad credit
checking account between 0 and 200 DM,27,existing credits paid back duly till now,business,3915,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,car or other property,36,none,own,1,skilled employee or official,2,telephone registered under customer name,yes,bad credit
no checking account,6,existing credits paid back duly till now,radio or television,2108,savings below 100 DM,employed between 4 and 7 years,2,male married or widowed,none,2,real estate,29,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,45,existing credits paid back duly till now,radio or television,3031,savings between 100 and 500 DM,employed between 1 and 4 years,4,male single,guarantor,4,building society savings agreement or life insurance,21,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,9,critical account or other credits existing,education,1501,savings below 100 DM,employed 7 years or more,2,"female divorced, separated, or married",none,3,car or other property,34,none,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,6,critical account or other credits existing,radio or television,1382,savings below 100 DM,employed between 1 and 4 years,1,"female divorced, separated, or married",none,1,car or other property,28,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,furniture or equipment,951,savings between 100 and 500 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,car or other property,27,bank,rent,4,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown or no savings account,employed 7 years or more,4,male single,none,4,unknown or no property,36,bank,for free,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,18,delay in paying off in the past,furniture or equipment,4297,savings below 100 DM,employed 7 years or more,4,male divorced or separated,none,3,unknown or no property,40,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,9,critical account or other credits existing,education,936,savings between 500 and 1000 DM,employed 7 years or more,4,male single,none,2,car or other property,52,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,car (new),1168,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,none,3,real estate,27,none,own,1,unskilled resident,1,no telephone,yes,good credit
no checking account,27,delay in paying off in the past,business,5117,savings below 100 DM,employed between 4 and 7 years,3,male single,none,4,car or other property,26,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,retraining,902,savings below 100 DM,employed between 4 and 7 years,4,male married or widowed,none,4,building society savings agreement or life insurance,21,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,12,critical account or other credits existing,car (new),1495,savings below 100 DM,employed 7 years or more,4,male single,none,1,real estate,38,none,own,2,unskilled resident,2,no telephone,yes,good credit
checking account below 0 DM,30,critical account or other credits existing,car (used),10623,savings below 100 DM,employed 7 years or more,3,male single,none,4,unknown or no property,38,none,for free,3,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
no checking account,12,critical account or other credits existing,furniture or equipment,1935,savings below 100 DM,employed 7 years or more,4,male single,none,4,real estate,43,none,own,3,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,12,critical account or other credits existing,domestic appliances,1424,savings below 100 DM,employed between 4 and 7 years,4,male single,none,3,building society savings agreement or life insurance,26,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,business,6568,savings below 100 DM,employed between 1 and 4 years,2,male married or widowed,none,2,car or other property,21,stores,own,1,unskilled resident,1,no telephone,yes,good credit
no checking account,12,existing credits paid back duly till now,car (used),1413,savings above 1000 DM,employed between 4 and 7 years,3,male single,none,2,building society savings agreement or life insurance,55,none,own,1,skilled employee or official,1,no telephone,no,good credit
no checking account,9,critical account or other credits existing,radio or television,3074,unknown or no savings account,employed between 1 and 4 years,1,male single,none,2,real estate,33,none,own,2,skilled employee or official,2,no telephone,yes,good credit
no checking account,36,existing credits paid back duly till now,radio or television,3835,unknown or no savings account,employed 7 years or more,2,"female divorced, separated, or married",none,4,real estate,45,none,own,1,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,27,no credits taken or all credits paid back duly,business,5293,savings below 100 DM,unemployed,2,male single,none,4,building society savings agreement or life insurance,50,stores,own,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account above 200 DM or salary assignment for at least 1 year,30,delay in paying off in the past,business,1908,savings below 100 DM,employed 7 years or more,4,male single,none,4,real estate,66,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,36,critical account or other credits existing,radio or television,3342,unknown or no savings account,employed 7 years or more,4,male single,none,2,car or other property,51,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,6,critical account or other credits existing,retraining,932,unknown or no savings account,employed between 4 and 7 years,1,"female divorced, separated, or married",none,3,building society savings agreement or life insurance,39,none,own,2,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,18,no credits taken or all credits paid back duly,business,3104,savings below 100 DM,employed between 4 and 7 years,3,male single,none,1,building society savings agreement or life insurance,31,bank,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,36,existing credits paid back duly till now,radio or television,3913,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,real estate,23,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,furniture or equipment,3021,savings below 100 DM,employed between 1 and 4 years,2,male divorced or separated,none,2,real estate,24,none,rent,1,unskilled resident,1,no telephone,yes,good credit
no checking account,10,existing credits paid back duly till now,car (new),1364,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,4,car or other property,64,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,radio or television,625,savings below 100 DM,employed less than 1 year,4,male married or widowed,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,education,1200,unknown or no savings account,employed between 1 and 4 years,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,23,bank,rent,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,12,existing credits paid back duly till now,radio or television,707,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,real estate,30,bank,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,delay in paying off in the past,business,2978,unknown or no savings account,employed between 1 and 4 years,4,male single,none,4,real estate,32,none,own,2,skilled employee or official,2,telephone registered under customer name,yes,good credit
no checking account,15,existing credits paid back duly till now,car (used),4657,savings below 100 DM,employed between 1 and 4 years,3,male single,none,2,car or other property,30,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,36,no credits taken or all credits paid back duly,repairs,2613,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,car or other property,27,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,48,existing credits paid back duly till now,radio or television,10961,savings above 1000 DM,employed between 4 and 7 years,1,male single,co-applicant,2,unknown or no property,27,bank,own,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,12,existing credits paid back duly till now,furniture or equipment,7865,savings below 100 DM,employed 7 years or more,4,male single,none,4,unknown or no property,53,none,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,9,existing credits paid back duly till now,radio or television,1478,savings below 100 DM,employed between 4 and 7 years,4,male single,none,2,car or other property,22,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,24,existing credits paid back duly till now,furniture or equipment,3149,savings below 100 DM,employed less than 1 year,4,male single,none,1,unknown or no property,22,bank,for free,1,skilled employee or official,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,36,existing credits paid back duly till now,radio or television,4210,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,car or other property,26,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,9,existing credits paid back duly till now,car (new),2507,savings between 500 and 1000 DM,employed 7 years or more,2,male single,none,4,unknown or no property,51,none,for free,1,unskilled resident,1,no telephone,yes,good credit
no checking account,12,existing credits paid back duly till now,radio or television,2141,savings between 100 and 500 DM,employed between 4 and 7 years,3,male single,none,1,unknown or no property,35,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,18,existing credits paid back duly till now,radio or television,866,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,guarantor,2,real estate,25,none,own,1,unskilled resident,1,no telephone,yes,good credit
no checking account,4,critical account or other credits existing,radio or television,1544,savings below 100 DM,employed between 4 and 7 years,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,no telephone,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,radio or television,1823,savings below 100 DM,unemployed,4,male single,none,2,car or other property,30,stores,own,1,"management, self-employed, or highly qualified",2,no telephone,yes,bad credit
checking account between 0 and 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown or no savings account,unemployed,1,male single,none,2,building society savings agreement or life insurance,23,none,own,1,unemployed or unskilled non-resident,1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,21,existing credits paid back duly till now,business,2767,savings between 100 and 500 DM,employed 7 years or more,4,male divorced or separated,none,2,car or other property,61,bank,rent,2,unskilled resident,1,no telephone,yes,bad credit
no checking account,12,critical account or other credits existing,radio or television,1291,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,35,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,30,existing credits paid back duly till now,radio or television,2522,savings below 100 DM,employed 7 years or more,1,male single,guarantor,3,building society savings agreement or life insurance,39,none,own,1,skilled employee or official,2,no telephone,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,car (new),915,unknown or no savings account,employed 7 years or more,4,"female divorced, separated, or married",none,2,car or other property,29,bank,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,6,existing credits paid back duly till now,radio or television,1595,savings below 100 DM,employed between 4 and 7 years,3,male single,none,2,building society savings agreement or life insurance,51,none,own,1,skilled employee or official,2,no telephone,yes,good credit
checking account below 0 DM,48,no credits taken or all credits paid back duly,car (used),4605,savings below 100 DM,employed 7 years or more,3,male single,none,4,unknown or no property,24,none,for free,2,skilled employee or official,2,no telephone,yes,bad credit
no checking account,12,critical account or other credits existing,business,1185,savings below 100 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",none,2,real estate,27,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,12,all credits at this bank paid back duly,retraining,3447,savings between 500 and 1000 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,3,real estate,35,none,own,1,unskilled resident,2,no telephone,yes,good credit
no checking account,24,existing credits paid back duly till now,business,1258,savings below 100 DM,employed between 4 and 7 years,4,male single,none,1,real estate,25,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,12,critical account or other credits existing,radio or television,717,savings below 100 DM,employed 7 years or more,4,male single,none,4,real estate,52,none,own,3,skilled employee or official,1,no telephone,yes,good credit
no checking account,6,no credits taken or all credits paid back duly,car (new),1204,savings between 100 and 500 DM,employed between 1 and 4 years,4,male single,none,1,unknown or no property,35,bank,rent,1,skilled employee or official,1,no telephone,no,good credit
checking account above 200 DM or salary assignment for at least 1 year,24,existing credits paid back duly till now,furniture or equipment,1925,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,real estate,26,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,18,existing credits paid back duly till now,radio or television,433,savings below 100 DM,unemployed,3,"female divorced, separated, or married",co-applicant,4,real estate,22,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,6,critical account or other credits existing,car (new),666,savings above 1000 DM,employed between 4 and 7 years,3,"female divorced, separated, or married",none,4,real estate,39,none,own,2,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,12,existing credits paid back duly till now,furniture or equipment,2251,savings below 100 DM,employed between 1 and 4 years,1,"female divorced, separated, or married",none,2,car or other property,46,none,own,1,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,30,existing credits paid back duly till now,car (new),2150,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",guarantor,2,unknown or no property,24,bank,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,24,delay in paying off in the past,furniture or equipment,4151,savings between 100 and 500 DM,employed between 1 and 4 years,2,male single,none,3,building society savings agreement or life insurance,35,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,9,existing credits paid back duly till now,furniture or equipment,2030,unknown or no savings account,employed between 4 and 7 years,2,male single,none,1,car or other property,24,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,60,delay in paying off in the past,radio or television,7418,unknown or no savings account,employed between 1 and 4 years,1,male single,none,1,real estate,27,none,own,1,unskilled resident,1,no telephone,yes,good credit
no checking account,24,critical account or other credits existing,radio or television,2684,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,real estate,35,none,own,2,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,12,all credits at this bank paid back duly,radio or television,2149,savings below 100 DM,employed between 1 and 4 years,4,male divorced or separated,none,1,unknown or no property,29,none,for free,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,15,existing credits paid back duly till now,car (used),3812,savings between 100 and 500 DM,employed less than 1 year,1,"female divorced, separated, or married",none,4,car or other property,23,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,11,critical account or other credits existing,radio or television,1154,savings between 100 and 500 DM,unemployed,4,"female divorced, separated, or married",none,4,real estate,57,none,own,3,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,furniture or equipment,1657,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,real estate,27,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,radio or television,1603,savings below 100 DM,employed 7 years or more,4,"female divorced, separated, or married",none,4,car or other property,55,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,18,critical account or other credits existing,car (new),5302,savings below 100 DM,employed 7 years or more,2,male single,none,4,unknown or no property,36,none,for free,3,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,12,critical account or other credits existing,education,2748,savings below 100 DM,employed 7 years or more,2,"female divorced, separated, or married",none,4,unknown or no property,57,bank,for free,3,unskilled resident,1,no telephone,yes,good credit
no checking account,10,critical account or other credits existing,car (new),1231,savings below 100 DM,employed 7 years or more,3,male single,none,4,real estate,32,none,own,2,unskilled resident,2,no telephone,no,good credit
checking account between 0 and 200 DM,15,existing credits paid back duly till now,radio or television,802,savings below 100 DM,employed 7 years or more,4,male single,none,3,car or other property,37,none,own,1,skilled employee or official,2,no telephone,yes,bad credit
no checking account,36,critical account or other credits existing,business,6304,unknown or no savings account,employed 7 years or more,4,male single,none,4,real estate,36,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,existing credits paid back duly till now,radio or television,1533,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,3,car or other property,38,stores,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,14,existing credits paid back duly till now,car (new),8978,savings below 100 DM,employed 7 years or more,1,male divorced or separated,none,4,building society savings agreement or life insurance,45,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,no,bad credit
no checking account,24,existing credits paid back duly till now,radio or television,999,unknown or no savings account,employed 7 years or more,4,male single,none,2,car or other property,25,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,18,existing credits paid back duly till now,car (new),2662,unknown or no savings account,employed between 4 and 7 years,4,male single,none,3,building society savings agreement or life insurance,32,none,own,1,skilled employee or official,1,no telephone,no,good credit
no checking account,12,critical account or other credits existing,furniture or equipment,1402,savings between 500 and 1000 DM,employed between 4 and 7 years,3,"female divorced, separated, or married",none,4,car or other property,37,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown or no savings account,unemployed,4,male single,co-applicant,4,unknown or no property,36,none,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,48,existing credits paid back duly till now,radio or television,3060,savings below 100 DM,employed between 4 and 7 years,4,male single,none,4,real estate,28,none,own,2,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,30,existing credits paid back duly till now,repairs,11998,savings below 100 DM,employed less than 1 year,1,male divorced or separated,none,1,unknown or no property,34,none,own,1,unskilled resident,1,telephone registered under customer name,yes,bad credit
no checking account,9,existing credits paid back duly till now,radio or television,2697,savings below 100 DM,employed between 1 and 4 years,1,male single,none,2,real estate,32,none,own,1,skilled employee or official,2,no telephone,yes,good credit
no checking account,18,critical account or other credits existing,radio or television,2404,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,2,car or other property,26,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,furniture or equipment,1262,unknown or no savings account,employed 7 years or more,2,male divorced or separated,none,4,building society savings agreement or life insurance,49,none,own,1,unskilled resident,1,telephone registered under customer name,yes,good credit
no checking account,6,existing credits paid back duly till now,furniture or equipment,4611,savings below 100 DM,employed less than 1 year,1,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,32,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,24,existing credits paid back duly till now,radio or television,1901,savings between 100 and 500 DM,employed between 1 and 4 years,4,male single,none,4,car or other property,29,none,rent,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,15,critical account or other credits existing,car (used),3368,savings above 1000 DM,employed 7 years or more,3,male single,none,4,unknown or no property,23,none,rent,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,12,existing credits paid back duly till now,furniture or equipment,1574,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,real estate,50,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,18,all credits at this bank paid back duly,radio or television,1445,unknown or no savings account,employed between 4 and 7 years,4,male single,none,4,car or other property,49,bank,own,1,unskilled resident,1,no telephone,yes,good credit
no checking account,15,critical account or other credits existing,furniture or equipment,1520,unknown or no savings account,employed 7 years or more,4,male single,none,4,building society savings agreement or life insurance,63,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,24,critical account or other credits existing,car (new),3878,savings between 100 and 500 DM,employed less than 1 year,4,male divorced or separated,none,2,car or other property,37,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,47,existing credits paid back duly till now,car (new),10722,savings below 100 DM,employed less than 1 year,1,"female divorced, separated, or married",none,1,real estate,35,none,own,1,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,48,existing credits paid back duly till now,car (used),4788,savings below 100 DM,employed between 4 and 7 years,4,male single,none,3,building society savings agreement or life insurance,26,none,own,1,skilled employee or official,2,no telephone,yes,good credit
checking account between 0 and 200 DM,48,delay in paying off in the past,others,7582,savings between 100 and 500 DM,unemployed,2,male single,none,4,unknown or no property,31,none,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,radio or television,1092,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",guarantor,4,real estate,49,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,delay in paying off in the past,radio or television,1024,savings below 100 DM,employed less than 1 year,4,male married or widowed,none,4,real estate,48,stores,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,12,existing credits paid back duly till now,business,1076,savings below 100 DM,employed between 1 and 4 years,2,male married or widowed,none,2,real estate,26,none,own,1,skilled employee or official,1,telephone registered under customer name,no,good credit
checking account between 0 and 200 DM,36,existing credits paid back duly till now,car (used),9398,savings below 100 DM,employed less than 1 year,1,male married or widowed,none,4,car or other property,28,none,rent,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,24,critical account or other credits existing,car (used),6419,savings below 100 DM,employed 7 years or more,2,"female divorced, separated, or married",none,4,unknown or no property,44,none,for free,2,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,42,critical account or other credits existing,car (used),4796,savings below 100 DM,employed 7 years or more,4,male single,none,4,unknown or no property,56,none,for free,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,48,critical account or other credits existing,business,7629,unknown or no savings account,employed 7 years or more,4,male divorced or separated,none,2,car or other property,46,bank,own,2,"management, self-employed, or highly qualified",2,no telephone,yes,good credit
checking account between 0 and 200 DM,48,existing credits paid back duly till now,furniture or equipment,9960,savings below 100 DM,employed less than 1 year,1,"female divorced, separated, or married",none,2,car or other property,26,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,12,existing credits paid back duly till now,car (used),4675,unknown or no savings account,employed less than 1 year,1,"female divorced, separated, or married",none,4,car or other property,20,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,10,existing credits paid back duly till now,car (new),1287,unknown or no savings account,employed 7 years or more,4,male single,co-applicant,2,building society savings agreement or life insurance,45,none,own,1,unskilled resident,1,no telephone,no,good credit
no checking account,18,existing credits paid back duly till now,furniture or equipment,2515,savings below 100 DM,employed between 1 and 4 years,3,male single,none,4,real estate,43,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,21,critical account or other credits existing,furniture or equipment,2745,savings above 1000 DM,employed between 4 and 7 years,3,male single,none,2,car or other property,32,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,6,existing credits paid back duly till now,car (new),672,savings below 100 DM,unemployed,1,"female divorced, separated, or married",none,4,real estate,54,none,own,1,unemployed or unskilled non-resident,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,36,no credits taken or all credits paid back duly,radio or television,3804,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,1,car or other property,42,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account above 200 DM or salary assignment for at least 1 year,24,critical account or other credits existing,car (new),1344,unknown or no savings account,employed between 4 and 7 years,4,male single,none,2,real estate,37,bank,own,2,unskilled resident,2,no telephone,yes,bad credit
checking account below 0 DM,10,critical account or other credits existing,car (new),1038,savings below 100 DM,employed between 4 and 7 years,4,male single,co-applicant,3,building society savings agreement or life insurance,49,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,48,critical account or other credits existing,car (new),10127,savings between 500 and 1000 DM,employed between 1 and 4 years,2,male single,none,2,unknown or no property,44,bank,for free,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,6,existing credits paid back duly till now,furniture or equipment,1543,savings above 1000 DM,employed between 1 and 4 years,4,male divorced or separated,none,2,real estate,33,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,30,existing credits paid back duly till now,car (used),4811,unknown or no savings account,employed between 4 and 7 years,2,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,24,stores,rent,1,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,radio or television,727,savings between 100 and 500 DM,employed less than 1 year,4,male married or widowed,none,3,unknown or no property,33,none,own,1,unskilled resident,1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,8,existing credits paid back duly till now,furniture or equipment,1237,savings below 100 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",none,4,real estate,24,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,9,existing credits paid back duly till now,car (new),276,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,none,4,real estate,22,none,rent,1,unskilled resident,1,no telephone,yes,good credit
